id,name,lon,lat
5009635,Padalarang,107.4876940990033,-6.831381937278132
5009400,Cimahi Tengah,107.51880142051368,-6.8759807876829555
5009470,Gedebage,107.70199270996326,-6.970279269974214
5009367,Cikalongwetan,107.43152880634767,-6.771660059155639
5009779,Sukatani,107.40706251577099,-6.597862106349128
5009804,Tambun selatan,107.03917019533992,-6.27072394119741
5009373,Cikarang Selatan,107.12147565396378,-6.304839681188385
5009371,Cikarang Barat,107.07131776512044,-6.282507034865825
5005604,Jatinegara ,106.89093312753005,-6.243496821716255
5009691,Pondok Gede,106.91217886582001,-6.2577838111923425
5009824,Telukjambe Barat,107.21293874423343,-6.359022779262479
5009239,Bandung Kidul,107.62051628437608,-6.961654613452838
5009399,Cimahi Selatan,107.54122979510078,-6.911363635085763
5009279,Bojongloa Kidul,107.5826503982401,-6.9614513302453
501230,Purwakarta,107.42360504175475,-6.5569230950343265
5009303,Ciampel,107.34773873733869,-6.467973957676957
5009659,Pangkalan,107.27139890228739,-6.402601880267991
5009779,Sukatani,107.39723442910197,-6.6402144830237315
5009455,Darangdan,107.40382573168534,-6.6747697025695585
5009263,Bekasi Selatan,106.99006546825363,-6.2533335822765554
5005604,Stasiun Halim,106.88424333422508,-6.245634562509662
5009824,Stasiun Karawang,107.2194301976805,-6.364950825654365
5009624,Stasiun Padalarang,107.49636720343503,-6.84199588878808
5009394,Stasiun Tegalluar,107.71545399902577,-6.964283151191192
